Selling_Price,Present_Price,Kms_Driven,Owner,no_year,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Individual,Transmission_Manual
4.50,8.76,145500,0,6,1,0,1,1
3.70,7.20,120000,1,6,1,0,1,1
1.58,10.25,140000,2,14,0,1,1,1
2.25,8.55,127000,0,10,1,0,1,1
1.30,7.38,120000,0,13,0,1,1,1
4.40,5.74,45000,0,3,0,1,1,1
0.45,5.69,5000,1,19,0,1,1,1
3.50,11.64,90000,0,9,1,0,1,1
2.00,4.35,169000,0,7,1,0,1,1
5.00,9.73,68000,1,6,1,0,1,1
0.92,6.82,100000,1,15,0,1,1,1
2.80,12.16,140000,1,11,1,0,1,1
1.80,7.82,90000,1,11,0,1,1,1
4.00,5.71,40000,0,4,0,1,1,1
7.78,11.10,70000,1,4,1,0,1,1
5.00,7.13,53000,1,8,1,0,1,1
1.50,16.59,80000,1,18,0,1,1,1
6.80,9.70,100000,0,4,1,0,1,1
1.74,5.79,100000,1,9,1,0,1,1
9.50,12.40,50000,0,3,1,0,1,1
5.25,6.85,40000,0,5,1,0,1,1
6.00,7.83,72000,0,8,1,0,1,1
5.00,6.53,35000,0,2,0,1,1,1
5.75,8.20,45000,0,4,0,1,1,1
2.75,3.59,28000,0,3,0,1,1,1
3.00,6.52,70000,0,7,1,0,1,1
2.20,9.56,120000,0,11,0,1,1,1
2.55,11.08,25000,0,2,0,1,1,1
6.70,8.75,70000,0,3,1,0,1,1
1.50,1.96,35000,1,8,0,1,1,1
7.30,9.53,2388,0,2,0,1,1,1
6.50,8.48,16200,0,3,1,0,1,1
3.66,3.91,15000,0,1,0,1,1,1
11.49,12.29,5000,0,1,0,1,1,1
1.50,2.14,42000,0,4,0,1,1,1
4.25,14.14,60000,1,9,1,0,1,1
1.50,4.99,76000,0,8,0,1,1,1
21.00,22.46,5000,0,1,0,1,1,0
9.25,9.89,28900,0,2,0,1,0,1
4.25,9.24,86300,0,7,0,1,0,1
6.75,14.67,23300,0,2,0,1,0,0
